,date,open,high,low,close,tick_volume,spread,real_volume
4166,2018-01-11,150.462,151.01,150.194,150.653,203660,0,0
4167,2018-01-12,150.548,152.676,150.515,152.453,235887,0,0
4168,2018-01-15,152.459,152.807,151.932,152.474,204973,0,0
4169,2018-01-16,152.377,153.1,152.049,152.35,205679,0,0
4170,2018-01-17,152.32,154.285,152.145,153.902,247102,0,0
4171,2018-01-18,153.86,154.581,153.621,154.359,228469,0,0
4172,2018-01-19,154.33,154.438,153.111,153.465,222093,0,0
4173,2018-01-22,153.508,155.257,153.427,155.172,190282,0,0
4174,2018-01-23,155.074,155.401,153.732,154.399,217648,0,0
4175,2018-01-24,154.361,155.719,154.126,155.482,275121,0,0
4176,2018-01-25,155.45,156.086,154.428,154.685,356473,0,0
4177,2018-01-26,154.604,155.856,153.427,153.709,310590,0,0
4178,2018-01-29,153.553,154.024,152.824,153.372,259958,0,0
4179,2018-01-30,153.326,154.089,151.971,153.912,268462,0,0
4180,2018-01-31,153.841,155.352,153.56,154.964,294913,0,0
4181,2018-02-01,154.904,156.449,154.658,156.039,253122,0,0
4182,2018-02-02,155.979,156.608,155.418,155.518,281377,0,0
4183,2018-02-05,155.343,155.548,152.285,152.357,332762,0,0
4184,2018-02-06,152.19,152.912,151.205,152.841,481246,0,0
4185,2018-02-07,152.755,153.124,151.326,151.767,310054,0,0
4186,2018-02-08,151.664,154.047,150.821,151.294,401881,0,0
4187,2018-02-09,151.255,152.754,148.92,150.41,409340,0,0
4188,2018-02-12,150.226,150.828,149.665,150.356,253662,0,0
4189,2018-02-13,150.296,150.623,148.977,149.778,255292,0,0
4190,2018-02-14,149.757,150.027,147.966,149.805,309414,0,0
4191,2018-02-15,149.731,150.186,148.935,149.663,296848,0,0
4192,2018-02-16,149.597,149.963,148.776,149.077,249412,0,0
4193,2018-02-19,148.934,149.473,148.879,149.184,170203,0,0
4194,2018-02-20,149.167,150.383,149.07,150.203,204896,0,0
4195,2018-02-21,150.168,150.933,149.418,149.992,249452,0,0
4196,2018-02-22,149.978,149.99,148.54,148.97,235770,0,0
4197,2018-02-23,148.912,149.516,148.641,149.264,193184,0,0
4198,2018-02-26,149.861,150.013,149.001,149.368,214984,0,0
4199,2018-02-27,149.3,149.814,148.84,149.276,235826,0,0
4200,2018-02-28,149.222,149.519,146.723,146.793,240081,0,0
4201,2018-03-01,146.763,147.484,146.009,146.348,310732,0,0
4202,2018-03-02,146.307,146.447,144.983,145.874,286798,0,0
4203,2018-03-05,145.508,147.121,145.081,147.063,326220,0,0
4204,2018-03-06,147.057,148.012,146.553,147.378,298838,0,0
4205,2018-03-07,147.347,147.57,146.231,147.468,345838,0,0
4206,2018-03-08,147.3,147.665,146.372,146.686,294127,0,0
4207,2018-03-09,146.606,148.545,146.602,147.936,295189,0,0
4208,2018-03-12,147.644,148.213,147.417,147.967,185505,0,0
4209,2018-03-13,147.961,149.379,147.765,148.796,222733,0,0
4210,2018-03-14,148.791,149.167,147.751,148.454,228470,0,0
4211,2018-03-15,148.429,148.501,147.447,148.192,228333,0,0
4212,2018-03-16,148.178,148.258,147.247,147.761,207868,0,0
4213,2018-03-19,147.611,149.683,147.048,148.788,267579,0,0
4214,2018-03-20,148.777,149.794,148.575,149.135,241452,0,0
4215,2018-03-21,149.115,150.315,148.953,149.953,233564,0,0
4216,2018-03-22,149.93,150.188,148.271,148.395,316678,0,0
4217,2018-03-23,148.38,148.973,147.673,148.021,346222,0,0
4218,2018-03-26,147.901,150.11,147.876,149.986,236393,0,0
4219,2018-03-27,149.932,150.496,148.936,149.129,256697,0,0
4220,2018-03-28,149.094,150.59,148.908,150.359,270734,0,0
4221,2018-03-29,150.346,150.465,149.025,149.19,227104,0,0
4222,2018-03-30,149.147,149.465,148.831,149.073,140237,0,0
4223,2018-04-02,148.876,149.675,148.383,148.729,167826,0,0
4224,2018-04-03,148.661,149.96,148.493,149.878,230582,0,0
4225,2018-04-04,149.82,150.429,148.798,150.336,256294,0,0
4226,2018-04-05,150.291,150.687,149.963,150.386,216097,0,0
4227,2018-04-06,150.319,151.226,149.887,150.673,287912,0,0
4228,2018-04-09,150.673,151.494,150.496,150.851,211377,0,0
4229,2018-04-10,150.816,152.138,150.709,151.964,252720,0,0
4230,2018-04-11,151.927,152.248,151.277,151.419,220072,0,0
4231,2018-04-12,151.316,152.88,151.172,152.723,220091,0,0
4232,2018-04-13,152.621,153.856,152.584,152.861,201331,0,0
4233,2018-04-16,153.027,153.763,152.651,153.582,183501,0,0
4234,2018-04-17,153.539,153.754,152.783,152.921,176036,0,0
4235,2018-04-18,152.832,153.629,152.059,152.304,183551,0,0
4236,2018-04-19,152.25,152.956,151.091,151.186,214691,0,0
4237,2018-04-20,151.171,151.7,150.697,150.716,215537,0,0
4238,2018-04-23,150.878,151.647,150.736,151.52,204213,0,0
4239,2018-04-24,151.506,152.605,151.408,152.096,199647,0,0
4240,2018-04-25,152.048,152.569,152.014,152.433,201536,0,0
4241,2018-04-26,152.382,152.727,151.974,152.077,227128,0,0
4242,2018-04-27,152.065,152.279,150.253,150.277,228118,0,0
4243,2018-04-30,150.177,150.848,149.837,150.48,179020,0,0
4244,2018-05-01,150.392,150.635,149.15,149.585,194042,0,0
4245,2018-05-02,149.554,150.126,149.008,149.086,236168,0,0
4246,2018-05-03,149.075,149.465,147.6,148.237,248719,0,0
